id,name_jp,depth
都市計画区域,UrbanPlanningArea,0
準都市計画区域,QuasiUrbanPlanningArea,0
区域区分,AreaClassification,0
地域地区,DistrictsAndZones,0
用途地域,UseDistrict,1
特別用途地区,SpecialUseDistrict,1
特定用途制限地域,SpecialUseRestrictionDistrict,1
特例容積率適用地区,ExceptionalFloorAreaRateDistrict,1
高層住居誘導地区,HighRiseResidentialAttractionDistrict,1
高度地区,HeightControlDistrict,1
高度利用地区,HighLevelUseDistrict,1
特定街区,SpecifiedBlock,1
都市再生特別地区,SpecialUrbanRenaissanceDistrict,1
居住調整地域,HousingControlArea,1
居住環境向上用途誘導地区,ResidentialEnvironmentImprovementDistrict,1
特定用途誘導地区,SpecialUseAttractionDistrict,1
防火地域又は準防火地域,FirePreventionDistrict,1
特定防災街区整備地区,SpecifiedDisasterPreventionBlockImprovementZone,1
景観地区,LandscapeZone,1
風致地区,ScenicDistrict,1
駐車場整備地区,ParkingPlaceDevelopmentZone,1
臨港地区,PortZone,1
歴史的風土特別保存地区,SpecialZoneForPreservationOfHistoricalLandscape,1
第一種歴史的風土保存地区又は第二種歴史的風土保存地区,ZoneForPreservationOfHistoricalLandscape,1
緑地保全地域,GreenSpaceConservationDistrict,1
特別緑地保全地域,SpecialGreenSpaceConservationDistrict,1
緑化地域,TreePlantingDistrict,1
流通業務地区,DistributionBusinessZone,1
生産緑地地区,ProductiveGreenZone,1
伝統的建造物群保存地区,ConservationZoneForClustersOfTraditionalStructures,1
航空機騒音障害防止地区又は航空機騒音障害防止特別地区,AircraftNoiseControlZone,1
促進区域,ProjectPromotionArea,0
市街地再開発促進区域,UrbanRedevelopmentPromotionArea,1
土地区画整理促進区域,LandReadjustmentPromotionArea,1
住宅街区整備促進区域,ResidentialBlockConstructionPromotionArea,1
拠点業務市街地整備土地区画整理促進区域,LandReadjustmentPromotionAreasForCoreBusinessUrbanDevelopment,1
遊休土地転換利用促進地区,UnusedLandUsePromotionArea,0
被災市街地復興推進地域,UrbanDisasterRecoveryPromotionArea,0
都市施設,UrbanFacility,0
交通施設,TrafficFacility,1
公共空地,OpenSpaceForPublicUse,1
供給施設及び処理施設,SupplyFacility,1
供給施設及び処理施設,TreatmentFacility,1
水路,Waterway,1
教育文化施設,EducationalAndCulturalFacility,1
医療施設及び社会福祉施設,MedicalFacility,1
医療施設及び社会福祉施設,SocialWelfareFacility,1
市場、と畜場、火葬場,MarketsSlaughterhousesCrematoria,1
一団地の住宅施設,CollectiveHousingFacilities,1
一団地の官公庁施設,CollectiveGovernmentAndPublicOfficeFacilities,1
流通業務団地,DistributionBusinessPark,1
一団地の津波防災拠点市街地形成施設,CollectiveFacilitiesForTsunamiDisasterPrevention,1
一団地の復興再生拠点市街地形成施設,CollectiveFacilitiesForReconstructionAndRevitalization,1
一団地の復興拠点市街地形成施設,CollectiveFacilitiesForReconstruction,1
一団地の都市安全確保拠点施設,CollectiveUrbanDisasterPreventionFacilities,1
政令で定める都市施設,UrbanFacilityStipulatedByCabinetOrder,1
電気通信施設,TelecommunicationFacility,1
防風施設,WindProtectionFacility,1
防火施設,FireProtectionFacility,1
防潮施設,TideFacility,1
防水施設,FloodPreventionFacility,1
防雪施設,SnowProtectionFacility,1
防砂施設,SandControlFacility,1
市街地開発事業,UrbanDevelopmentProject,0
土地区画整理事業,LandReadjustmentProject,1
新住宅市街地開発事業,NewHousingAndUrbanDevelopmentProject,1
工業団地造成事業,IndustrialParkDevelopmentProject,1
市街地再開発事業,UrbanRedevelopmentProject,1
新都市基盤整備事業,NewUrbanInfrastructureProject,1
住宅街区整備事業,ResidentialBlockConstructionProject,1
防災街区整備事業,DisasterPreventionBlockImprovementProject,1
市街地改造事業,UrbanRenewalProject,1
市街地開発事業等の予定区域,ScheduledAreaForUrbanDevelopmentProject,0
新住宅市街地開発事業の予定区域,ScheduledAreaForNewHousingAndUrbanDevelopmentProjects,1
工業団地造成事業の予定区域,ScheduledAreaForIndustrialParkDevelopmentProjects,1
新都市基盤整備事業の予定区域,ScheduledAreaForNewUrbanInfrastructureProjects,1
一団地の住宅施設の予定区域,ScheduledAreaForCollectiveHousingFacilities,1
一団地の官公庁施設の予定区域,ScheduledAreaForCollectiveGovernmentAndPublicOfficeFacilities,1
流通業務団地の予定区域,ScheduledAreaForDistributionBusinessPark,1
地区計画等,地区計画等,0
地区計画,DistrictPlan,1
地区整備計画,DistrictDevelopmentPlan,2
地区施設,DistrictFacility,3
沿道地区計画,RoadsideDistrictPlan,1
沿道地区整備計画,RoadsideDistrictImprovementPlan,2
沿道地区施設,RoadsideDistrictFacility,3
集落地区計画,RuralDistrictPlan,1
集落地整備計画,RuralDistrictImprovementPlan,2
集落施設,RuralDistrictFacility,3
歴史的風致維持向上地区計画,HistoricSceneryMaintenanceAndImprovementDistrictPlan,1
歴史的風致維持向上地区整備計画,DistrictImprovementPlanForHistoricSceneryMaintenanceAndImprovementDistrict,
防災街区整備地区計画,DisasterPreventionBlockImprovementZonePlan,1
特定建築物地区整備計画,SpecifiedBuildingZoneImprovementPlan,2
特定地区防災施設,ZonalDisasterPreventionFacility,3
防災街区整備地区整備計画,DistrictImprovementPlanForDisasterPreventionBlockImprovementZonePlan,2
地区防災施設,ZonalDisasterPreventionFacility,3
立地適正化計画,立地適正化計画,1
都市機能誘導区域,UrbanFunctionAttractionArea,2
居住誘導区域,ResidenceAttractionArea,2
